transaction,order_date,customer_id,customer_name,country,product_id,product_category,quantity,price,payment_method,order_status
T0001,2025-05-28,4,Customer_190,Canada,21,Health,4,115.49,credit card,return
T0002,2025-05-15,76,Customer_109,US,18,Automotive,1,51.38,paypal,return
T0003,2025-04-14,72,Customer_51,Australia,20,Garden,9,212.66,debit card,return
T0004,2025-04-04,98,Customer_41,Australia,9,Beauty,7,173.42,paypal,completed
T0005,2025-05-23,12,Customer_98,US,11,Books,6,424.51,cash,completed
T0006,2025-12-31,16,Customer_97,US,15,Grocery,9,150.12,cash,return
T0007,2026-03-27,9,Customer_12,Australia,7,Sports,4,387.67,credit card,completed
T0008,2025-10-12,36,Customer_117,Australia,4,Clothing,6,85.51,cash,completed
T0009,2025-08-15,90,Customer_175,Australia,22,Health,2,306.52,paypal,return
T0010,2025-06-23,60,Customer_98,Canada,8,Sports,9,113.71,cash,completed
T0011,2025-04-17,104,Customer_81,France,8,Sports,5,37.76,cash,completed
T0012,2025-12-12,51,Customer_165,France,21,Health,3,136.12,paypal,return
T0013,2026-01-01,34,Customer_192,Denmark,18,Automotive,7,449.42,debit card,cancelled
T0014,2025-06-10,66,Customer_127,US,8,Sports,1,431.25,paypal,return
T0015,2026-03-15,55,Customer_153,US,6,Home,7,193.9,debit card,return
T0016,2026-01-09,111,Customer_3,Australia,9,Beauty,2,342.45,cash,return
T0017,2025-05-28,38,Customer_112,UK,11,Books,8,6.61,cash,return
T0018,2025-12-16,117,Customer_28,Australia,6,Home,5,421.63,paypal,completed
T0019,2025-06-22,70,Customer_200,Denmark,12,Books,1,301.48,debit card,completed
T0020,2025-10-03,113,Customer_79,UK,4,Clothing,1,124.23,credit card,completed
T0021,2025-05-06,126,Customer_195,Denmark,16,Grocery,3,68.55,debit card,return
T0022,2025-08-14,68,Customer_156,France,6,Home,4,464.81,paypal,return
T0023,2025-10-22,86,Customer_167,Canada,10,Beauty,8,450.31,debit card,completed
T0024,2025-07-25,9,Customer_87,US,8,Sports,10,279.19,paypal,completed
T0025,2026-03-29,81,Customer_16,UK,3,Clothing,2,453.18,cash,completed
T0026,2025-07-31,36,Customer_172,France,17,Automotive,4,271.92,debit card,completed
T0027,2025-10-26,25,Customer_25,US,16,Grocery,7,180.38,debit card,cancelled
T0028,2026-03-11,84,Customer_166,US,2,Electronics,1,204.3,cash,completed
T0029,2025-07-08,25,Customer_138,France,8,Sports,3,213.83,cash,cancelled
T0030,2025-05-09,57,Customer_141,US,8,Sports,1,327.81,credit card,completed
T0031,2025-06-25,53,Customer_125,France,8,Sports,4,433.0,credit card,completed
T0032,2025-04-02,127,Customer_100,Canada,13,Toys,8,146.2,debit card,completed
T0033,2025-08-30,28,Customer_15,Denmark,7,Sports,9,35.17,cash,completed
T0034,2026-01-25,62,Customer_129,Denmark,2,Electronics,3,33.16,credit card,completed
T0035,2026-01-30,9,Customer_173,UK,3,Clothing,7,64.34,paypal,return
T0036,2025-04-21,80,Customer_21,France,20,Garden,10,284.79,cash,cancelled
T0037,2026-03-09,92,Customer_81,UK,7,Sports,5,200.91,cash,cancelled
T0038,2025-05-08,2,Customer_118,Denmark,11,Books,10,498.07,credit card,return
T0039,2025-12-16,34,Customer_34,Canada,7,Sports,2,440.24,cash,cancelled
T0040,2025-11-11,107,Customer_140,Australia,6,Home,5,307.78,credit card,return
T0041,2025-09-01,120,Customer_170,US,18,Automotive,3,135.91,credit card,return
T0042,2025-06-19,35,Customer_73,Denmark,18,Automotive,4,360.22,paypal,return
T0043,2025-08-14,65,Customer_126,Canada,21,Health,1,50.69,debit card,cancelled
T0044,2025-04-02,43,Customer_198,UK,2,Electronics,5,84.98,debit card,return
T0045,2026-01-13,2,Customer_29,US,14,Toys,3,275.07,cash,return
T0046,2025-06-15,56,Customer_33,US,18,Automotive,5,185.5,credit card,cancelled
T0047,2026-03-16,32,Customer_171,US,7,Sports,6,391.16,debit card,return
T0048,2025-07-31,111,Customer_42,UK,5,Home,7,17.27,cash,cancelled
T0049,2025-08-06,35,Customer_41,Australia,22,Health,2,194.36,credit card,cancelled
T0050,2025-07-12,105,Customer_118,Canada,8,Sports,5,411.17,paypal,completed
T0051,2026-03-04,25,Customer_103,Canada,1,Electronics,5,432.85,cash,cancelled
